번호,종목코드,종목명,업종코드,업종명,상장주식수,자본금
44,114090,GKL,189102,유원지 및 기타 오락관련 서비스업,61855670,30927835000
45,900290,GRT,116409,기타 금융업,67375000,770089223
46,78930,GS,116409,기타 금융업,92915378,4.73501E+11
47,83450,GST,32902,특수 목적용 기계 제조업,9317745,4658872500
48,6360,GS건설,64101,건물 건설업,80876635,4.04383E+11
49,1250,GS글로벌,74608,상품 종합 도매업,82533764,2.06334E+11
50,7070,GS리테일,74701,종합 소매업,77000000,77000000000
51,28150,GS홈쇼핑,106002,텔레비전 방송업,6562500,32812500000
52,45890,GV,32804,전구 및 조명장치 제조업,80456569,40228284500
53,78150,HB테크놀러지,32902,특수 목적용 기계 제조업,78990426,39495213000
54,12630,HDC,116409,기타 금융업,59741721,2.98709E+11
55,39570,HDC아이콘트롤스,64203,전기 및 통신 공사업,16460000,8230000000
56,89470,HDC현대EP,32004,기타 화학제품 제조업,31900000,17200000000
57,294870,HDC현대산업개발,64101,건물 건설업,65907330,3.29537E+11
58,11200,HMM,85001,해상 운송업,327902004,1.63951E+12
59,36640,HRS,32002,합성고무 및 플라스틱 물질 제조업,16354800,8177400000
60,82740,HSD엔진,32901,일반 목적용 기계 제조업,32947142,32947142000
61,335870,IBKS제12호스팩,116601,금융 지원 서비스업,3120000,312000000
62,351340,IBKS제13호스팩,116601,금융 지원 서비스업,5170000,517000000
63,351320,IBKS제14호스팩,116409,기타 금융업,4330000,433000000
64,3560,IHQ,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업",146235748,73117874000
65,95340,ISC,32602,전자부품 제조업,16007119,8003559500
66,99520,ITX-AI,32605,영상 및 음향기기 제조업,29301683,14650841500
67,175330,JB금융지주,116409,기타 금융업,196982894,9.84914E+11
68,950170,JTC,74701,종합 소매업,35005517,0
69,234080,JW생명과학,32102,의약품 제조업,15834554,39586385000
70,67290,JW신약,32102,의약품 제조업,43936858,21968429000
